,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Bayern Munich,1,78,34,24,6,4,88,32,56,2,42,17,13,3,1,49,14,35,1,36,17,11,3,3,39,18,21
Borussia Dortmund,2,76,34,23,7,4,81,44,37,1,44,17,14,2,1,52,25,27,2,32,17,9,5,3,29,19,10
RB Leipzig,3,66,34,19,9,6,63,29,34,3,36,17,10,6,1,34,9,25,3,30,17,9,3,5,29,20,9
Bayer Leverkusen,4,58,34,18,4,12,69,52,17,8,29,17,9,2,6,32,25,7,4,29,17,9,2,6,37,27,10
Borussia Monchengladbach,5,55,34,16,7,11,55,42,13,5,30,17,9,3,5,31,22,9,8,25,17,7,4,6,24,20,4
VfL Wolfsburg,6,55,34,16,7,11,62,50,12,6,29,17,8,5,4,36,23,13,6,26,17,8,2,7,26,27,-1
Eintracht Frankfurt,7,54,34,15,9,10,60,48,12,9,28,17,8,4,5,32,21,11,5,26,17,7,5,5,28,27,1
Werder Bremen,8,53,34,14,11,9,58,49,9,4,30,17,8,6,3,35,26,9,9,23,17,6,5,6,23,23,0
1899 Hoffenheim,9,51,34,13,12,9,70,52,18,11,26,17,7,5,5,28,20,8,7,25,17,6,7,4,42,32,10
Fortuna Dusseldorf,10,44,34,13,5,16,49,65,-16,10,27,17,9,0,8,27,28,-1,12,17,17,4,5,8,22,37,-15
Hertha BSC Berlin,11,43,34,11,10,13,49,57,-8,13,24,17,6,6,5,26,27,-1,10,19,17,5,4,8,23,30,-7
FSV Mainz 05,12,43,34,12,7,15,46,57,-11,7,29,17,8,5,4,31,22,9,13,14,17,4,2,11,15,35,-20
SC Freiburg,13,36,34,8,12,14,46,61,-15,12,25,17,6,7,4,32,27,5,15,11,17,2,5,10,14,34,-20
FC Schalke 04,14,33,34,8,9,17,37,55,-18,18,15,17,4,3,10,16,28,-12,11,18,17,4,6,7,21,27,-6
FC Augsburg,15,32,34,8,8,18,51,71,-20,15,19,17,5,4,8,34,33,1,14,13,17,3,4,10,17,38,-21
VfB Stuttgart,16,28,34,7,7,20,32,70,-38,14,22,17,6,4,7,22,27,-5,16,6,17,1,3,13,10,43,-33
Hannover 96,17,21,34,5,6,23,31,71,-40,17,16,17,5,1,11,15,26,-11,17,5,17,0,5,12,16,45,-29
1. FC Nurnberg,18,19,34,3,10,21,26,68,-42,16,16,17,3,7,7,16,22,-6,18,3,17,0,3,14,10,46,-36
